T, Cp, H, S
20800, 23.2793252181, 467683.551345, 251.487752472
20900, 23.332329481, 470014.105557, 251.599529766
21000, 23.388832502, 472350.133861, 251.711034801
21100, 23.4489894002, 474691.993849, 251.822287153
21200, 23.5129599894, 477040.058859, 251.933306863
21300, 23.5809088193, 479394.718449, 252.044114452
21400, 23.6530052122, 481756.37887, 252.154730936
21500, 23.729423295, 484125.463543, 252.265177835
21600, 23.810342026, 486502.413545, 252.375477192
21700, 23.8959452173, 488887.688091, 252.48565158
21800, 23.9864215514, 491281.765021, 252.595724117
21900, 24.0819645924, 493685.141286, 252.705718479
22000, 24.1827727909, 496098.333439, 252.815658912
22100, 24.2890494836, 498521.878122, 252.925570242
22200, 24.4010028856, 500956.332554, 253.035477887
22300, 24.518846077, 503402.27502, 253.145407873
22400, 24.6427969818, 505860.305355, 253.255386835
22500, 24.7730783399, 508331.045426, 253.365442039
22600, 24.9099176718, 510815.139616, 253.475601383
22700, 25.053547235, 513313.255296, 253.585893411
22800, 25.2042039729, 515826.083297, 253.696347325
22900, 25.3621294552, 518354.338377, 253.806992986
23000, 25.5275698091, 520898.759679, 253.91786093
23100, 25.700775642, 523460.111184, 254.028982373
23200, 25.8820019549, 526039.182152, 254.140389218
23300, 26.0715080462, 528636.787563, 254.252114062
23400, 26.2695574048, 531253.768533, 254.364190203
23500, 26.4764175943, 533890.992734, 254.476651647
23600, 26.6923601252, 536549.354792, 254.589533108
23700, 26.917660317, 539229.776677, 254.702870019
23800, 27.1525971492, 541933.208073, 254.81669853
23900, 27.3974530999, 544660.62674, 254.931055516
24000, 27.6525139732, 547413.038853, 255.045978574
24100, 27.9180687139, 550191.479327, 255.161506028
24200, 28.1944092105, 552997.012118, 255.277676929
24300, 28.4818300839, 555830.730512, 255.394531054
24400, 28.7806284641, 558693.757383, 255.512108905
24500, 29.0911037532, 561587.245433, 255.630451707
24600, 29.413557374, 564512.377409, 255.749601404
24700, 29.7482925052, 567470.36629, 255.869600659
24800, 30.0956138017, 570462.455448, 255.990492842
24900, 30.4558271006, 573489.918783, 256.112322031
25000, 30.8292391123, 576554.060824, 256.235133
25100, 31.2161570961, 579656.216804, 256.358971212
25200, 31.6168885205, 582797.752692, 256.483882813
25300, 32.0317407084, 585980.065201, 256.609914614
25400, 32.4610204663, 589204.581753, 256.737114086
25500, 32.9050336968, 592472.760411, 256.865529344
25600, 33.3640849965, 595786.089764, 256.995209133
25700, 33.8384772362, 599146.088778, 257.126202812
25800, 34.3285111264, 602554.306602, 257.258560336
25900, 34.8344847651, 606012.322331, 257.392332241
26000, 35.3566931702, 609521.744718, 257.527569619
26100, 35.8954277954, 613084.211844, 257.664324101
26200, 36.4509760298, 616701.390736, 257.802647833
26300, 37.0236206819, 620374.976936, 257.942593451
26400, 37.6136394469, 624106.694016, 258.084214054
26500, 38.2213043593, 627898.293037, 258.227563181
26600, 38.8468812294, 631751.55196, 258.372694776
26700, 39.490629065, 635668.27499, 258.519663162
26800, 40.1527994784, 639650.291868, 258.668523008
26900, 40.8336360792, 643699.457102, 258.819329294
27000, 41.5333738534, 647817.649133, 258.972137277
27100, 42.2522385293, 652006.769447, 259.12700245
27200, 42.9904459309, 656268.741608, 259.28398051
27300, 43.7482013198, 660605.510245, 259.443127311
27400, 44.525698726, 665019.039953, 259.604498826
27500, 45.3231202683, 669511.314142, 259.768151101
27600, 46.1406354665, 674084.33381, 259.93414021
27700, 46.9784005445, 678740.116247, 260.102522209
27800, 47.8365577271, 683480.693672, 260.273353084
27900, 48.7152345312, 688308.111797, 260.446688704
28000, 49.6145430519, 693224.42832, 260.622584767
28100, 50.5345792468, 698231.711348, 260.801096745
28200, 51.4754222169, 703332.037748, 260.982279833
28300, 52.4371334898, 708527.491422, 261.166188885
28400, 53.4197563027, 713820.161518, 261.352878363
28500, 54.4233148896, 719212.140564, 261.542402272
28600, 55.447813774, 724705.522529, 261.734814099
28700, 56.4932370683, 730302.400822, 261.930166754
28800, 57.5595477823, 736004.866214, 262.128512502
28900, 58.6466871437, 741815.004692, 262.329902896
29000, 59.7545739309, 747734.895249, 262.534388719
29100, 60.8831038226, 753766.607608, 262.742019904
29200, 62.032148764, 759912.199876, 262.952845477
29300, 63.2015563547, 766173.716144, 263.166913479
29400, 64.391149258, 772553.184019, 263.384270899
29500, 65.6007246363, 779052.612107, 263.604963602
29600, 66.8300536136, 785673.987429, 263.829036257
29700, 68.0788807686, 792419.272799, 264.056532266
29800, 69.3469236602, 799290.404138, 264.287493688
29900, 70.6338723888, 806289.287756, 264.521961166
30000, 71.9393891953, 813417.797583, 264.759973858
30100, 73.263108101, 820677.772364, 265.001569358
30200, 74.60463459, 828071.012821, 265.246783625
30300, 75.9635453383, 835599.278789, 265.495650911
30400, 77.3393879904, 843264.286318, 265.748203685
30500, 78.7316809873, 851067.704765, 266.004472563
30600, 80.1399134469, 859011.153864, 266.264486239
30700, 81.5635451006, 867096.200793, 266.528271406
30800, 83.0020062877, 875324.357234, 266.795852698
30900, 84.4546980088, 883697.076434, 267.06725261
31000, 85.9209920426, 892215.750279, 267.34249144
31100, 87.4002311251, 900881.706376, 267.621587217
31200, 88.8917291958, 909696.205168, 267.904555643
31300, 90.3947717099, 918660.437062, 268.191410025
31400, 91.9086160199, 927775.519601, 268.482161222
31500, 93.4324918267, 937042.494679, 268.776817582
31600, 94.9656017019, 946462.325798, 269.075384888
31700, 96.5071216817, 956035.895385, 269.377866309
31800, 98.0562019326, 965764.002171, 269.684262346
31900, 99.6119674906, 975647.358642, 269.994570788
32000, 101.173519072, 985686.588563, 270.308786668
32100, 102.73993396, 995882.224592, 270.626902224
32200, 104.310266956, 1006234.70598, 270.94890686
32300, 105.883551411, 1016744.37639, 271.274787113
32400, 107.458800324, 1027411.48177, 271.604526628
32500, 109.035007505, 1038236.16841, 271.938106127
32600, 110.611148816, 1049218.48109, 272.275503391
32700, 112.186183463, 1060358.36131, 272.616693245
32800, 113.759055369, 1071655.64571, 272.96164754
32900, 115.32869459, 1083110.06464, 273.310335149
33000, 116.894018805, 1094721.2408, 273.662721962
33100, 118.453934849, 1106488.68814, 274.018770887
33200, 120.007340307, 1118411.81076, 274.378441856
33300, 121.55312515, 1130489.90218, 274.741691834
33400, 123.090173416, 1142722.14458, 275.108474838
33500, 124.617364939, 1155107.60831, 275.47874195
33600, 126.1335771, 1167645.25159, 275.852441351
33700, 127.637686622, 1180333.92031, 276.229518344
33800, 129.128571385, 1193172.34808, 276.609915391
33900, 130.605112264, 1206159.15645, 276.993572155
34000, 132.066194984, 1219292.85526, 277.380425541
34100, 133.510711982, 1232571.84325, 277.770409746
34200, 134.937564284, 1245994.40882, 278.163456315
34300, 136.345663369, 1259558.73098, 278.559494199
34400, 137.733933042, 1273262.8805, 278.958449818
