T, Cp, H, S
40700, 23.940233172, 2182283.15965, 326.140037531
40800, 23.8992199542, 2184675.12652, 326.198736154
40900, 23.8588940019, 2187063.02655, 326.257191529
41000, 23.8192415578, 2189446.92777, 326.315406503
41100, 23.7802491798, 2191826.89686, 326.373383874
41200, 23.7419037324, 2194202.99917, 326.431126383
41300, 23.7041923793, 2196575.29874, 326.488636722
41400, 23.6671025754, 2198943.85836, 326.545917533
41500, 23.6306220601, 2201308.73957, 326.602971407
41600, 23.5947388495, 2203670.00268, 326.659800889
41700, 23.55944123, 2206027.70686, 326.716408476
41800, 23.5247177512, 2208381.91007, 326.772796621
41900, 23.4905572194, 2210732.66917, 326.82896773
42000, 23.4569486913, 2213080.03991, 326.884924166
42100, 23.4238814676, 2215424.07695, 326.940668252
42200, 23.3913450871, 2217764.8339, 326.996202266
42300, 23.3593293207, 2220102.36332, 327.051528447
42400, 23.3278241658, 2222436.71678, 327.106648994
42500, 23.2968198406, 2224767.94485, 327.161566067
42600, 23.2663067786, 2227096.09713, 327.216281788
42700, 23.2362756234, 2229421.22227, 327.270798243
42800, 23.2067172238, 2231743.36801, 327.32511748
42900, 23.1776226282, 2234062.58117, 327.379241512
43000, 23.1489830803, 2236378.9077, 327.433172319
43100, 23.1207900142, 2238692.39267, 327.486911844
43200, 23.0930350494, 2241003.08031, 327.540461999
43300, 23.0657099868, 2243311.01401, 327.593824664
43400, 23.0388068042, 2245616.23637, 327.647001686
43500, 23.0123176518, 2247918.78917, 327.699994881
43600, 22.9862348484, 2250218.71344, 327.752806036
43700, 22.9605508769, 2252516.04944, 327.805436906
43800, 22.9352583809, 2254810.83667, 327.857889219
43900, 22.9103501604, 2257103.11392, 327.910164675
44000, 22.8858191684, 2259392.91927, 327.962264943
44100, 22.8616585071, 2261680.2901, 328.014191669
44200, 22.8378614243, 2263965.2631, 328.065946469
44300, 22.8144213102, 2266247.87428, 328.117530935
44400, 22.7913316938, 2268528.15904, 328.168946631
44500, 22.7685862395, 2270806.1521, 328.2201951
44600, 22.7461787445, 2273081.88755, 328.271277858
44700, 22.7241031351, 2275355.39891, 328.322196395
44800, 22.7023534638, 2277626.71904, 328.372952183
44900, 22.6809239067, 2279895.88027, 328.423546666
45000, 22.6598087601, 2282162.91431, 328.473981268
45100, 22.6390024381, 2284427.85232, 328.524257391
45200, 22.6184994696, 2286690.72491, 328.574376414
45300, 22.5982944961, 2288951.56214, 328.624339696
45400, 22.5783822684, 2291210.39356, 328.674148576
45500, 22.5587576447, 2293467.24818, 328.723804371
